year,origin,destination,route_count
2000,ABW,CAN,2
2000,ABW,COL,2
2000,ABW,DOM,2
2000,ABW,NLD,1
2000,ABW,PAN,1
2000,ABW,SUR,1
2000,ABW,USA,21
2000,ABW,VEN,11
2000,AFG,ARE,7
2000,AFG,AZE,1
2000,AFG,IND,7
2000,AFG,IRN,5
2000,AFG,KWT,1
2000,AFG,PAK,4
2000,AFG,TJK,1
2000,AFG,TUR,3
2000,AGO,ARE,2
2000,AGO,BRA,2
2000,AGO,CHN,1
2000,AGO,CUB,1
2000,AGO,DEU,1
2000,AGO,ESP,1
2000,AGO,ETH,2
2000,AGO,FRA,1
2000,AGO,GBR,2
2000,AGO,KEN,1
2000,AGO,MAR,1
2000,AGO,MOZ,1
2000,AGO,NAM,3
2000,AGO,NLD,1
2000,AGO,PRT,3
2000,AGO,ZAF,3
2000,AGO,ZWE,1
2000,AIA,ATG,1
2000,AIA,PRI,2
2000,ALB,AUT,1
2000,ALB,DEU,2
2000,ALB,GBR,1
2000,ALB,GRC,2
2000,ALB,ITA,27
2000,ALB,SVN,1
2000,ALB,TUR,2
2000,ARE,AFG,7
2000,ARE,AGO,2
2000,ARE,ARM,2
2000,ARE,AUS,16
2000,ARE,AUT,2
2000,ARE,AZE,2
2000,ARE,BEL,3
2000,ARE,BGD,10
2000,ARE,BGR,1
2000,ARE,BHR,15
2000,ARE,BLR,2
2000,ARE,BRA,3
2000,ARE,BRN,1
2000,ARE,CAN,3
2000,ARE,CHE,7
2000,ARE,CHN,16
2000,ARE,CYP,3
2000,ARE,CZE,2
2000,ARE,DEU,23
2000,ARE,DJI,1
2000,ARE,DNK,2
2000,ARE,DZA,2
2000,ARE,EGY,11
2000,ARE,ESP,2
2000,ARE,ETH,3
2000,ARE,FRA,7
2000,ARE,GBR,22
2000,ARE,GEO,1
2000,ARE,GHA,1
2000,ARE,GRC,3
2000,ARE,HKG,4
2000,ARE,HUN,1
2000,ARE,IDN,5
2000,ARE,IND,88
2000,ARE,IRL,4
2000,ARE,IRN,24
2000,ARE,IRQ,15
2000,ARE,ITA,8
2000,ARE,JOR,9
2000,ARE,JPN,8
2000,ARE,KAZ,7
2000,ARE,KEN,9
2000,ARE,KGZ,1
2000,ARE,KOR,5
2000,ARE,KWT,12
2000,ARE,LBN,6
