year,origin,destination,diplomatic_relation,aviation_routes,migrant_stock,trade_value
2000,ABW,ATG,,,,3919.0
2000,ABW,AUT,,,,496455.0
2000,ABW,BEL,,,,20121260.0
2000,ABW,BGR,,,,787292.0
2000,ABW,BRA,,,,26012628.0
2000,ABW,BRB,,,,24934.0
2000,ABW,CAN,,2,,
2000,ABW,CHE,,,,1143.0
2000,ABW,COL,,2,,13564997.0
2000,ABW,CRI,,,,11798.0
2000,ABW,CUB,,,,3211662.0
2000,ABW,CYP,,,,624.0
2000,ABW,CZE,,,,87.0
2000,ABW,DEU,,,,1610530.0
2000,ABW,DMA,,,,2736.0
2000,ABW,DOM,,2,,
2000,ABW,ECU,,,,485.0
2000,ABW,ESP,,,,19010193.0
2000,ABW,FRA,,,,9962990.0
2000,ABW,GBR,,,,30950943.0
2000,ABW,GIN,,,,129771.0
2000,ABW,GRD,,,,16895.0
2000,ABW,GTM,,,,98258809.0
2000,ABW,GUY,,,,10277.0
2000,ABW,HKG,,,,248.0
2000,ABW,IDN,,,,14087.0
2000,ABW,IRL,,,,3122.0
2000,ABW,IRN,,,,2293821.0
2000,ABW,ITA,,,,1553018.0
2000,ABW,JAM,,,,84654.0
2000,ABW,KHM,,,,151143.0
2000,ABW,KNA,,,,12325.0
2000,ABW,KOR,,,,35882.0
2000,ABW,LBN,,,,260182.00000000003
2000,ABW,MEX,,,,5625917.0
2000,ABW,MKD,,,,166.0
2000,ABW,MNG,,,,1704.0
2000,ABW,NGA,,,,1417.0
2000,ABW,NIC,,,,58660.0
2000,ABW,NLD,,1,,35992374.0
2000,ABW,PAN,,1,,2180340.0
2000,ABW,PER,,,,1056.0
2000,ABW,PHL,,,,886984.0
2000,ABW,SDN,,,,1205098.0
2000,ABW,SGP,,,,4507814.0
2000,ABW,SLV,,,,85220828.0
2000,ABW,SUR,,1,,
2000,ABW,THA,,,,1843.0
2000,ABW,TTO,,,,485.0
2000,ABW,TUR,,,,1518772.0
2000,ABW,TZA,,,,1525.0
2000,ABW,USA,,21,,1341792641.0
2000,ABW,VEN,,11,,14485467.0
2000,ABW,VNM,,,,137464.0
2000,ABW,ZAF,,,,220.0
2000,ABW,ZWE,,,,759.0
2000,AFG,AND,,,,36729.0
2000,AFG,ARE,6,7,2588,
2000,AFG,ATG,,,,1687.0
2000,AFG,AUS,,,12511,32848.0
2000,AFG,AUT,4,,2129,294736.0
2000,AFG,AZE,,1,573,2827.0
2000,AFG,BEL,,,1750,18132930.0
2000,AFG,BGD,4,,,
2000,AFG,BGR,4,,223,10029.0
2000,AFG,BHR,,,258,
2000,AFG,BLR,,,292,1815277.0
2000,AFG,BOL,,,,33389.0
2000,AFG,BRA,,,70,1253133.0
2000,AFG,BRB,,,,13.0
2000,AFG,CAN,,,19294,402084.0
2000,AFG,CHE,,,1350,256088.00000000003
2000,AFG,CHL,,,,54397.0
2000,AFG,CHN,4,,465,5394041.0
2000,AFG,CIV,,,,5332.0
2000,AFG,CMR,,,,4185.0
2000,AFG,COL,,,13,19458.0
2000,AFG,CRI,,,3,229633.0
2000,AFG,CUB,6,,,
2000,AFG,CYP,,,4,2594.0
2000,AFG,CZE,4,,,320036.0
2000,AFG,DEU,4,,21132,5576831.0
2000,AFG,DMA,,,,12639.0
2000,AFG,DNK,,,3410,1144913.0
2000,AFG,DZA,,,,24812.0
2000,AFG,ECU,,,76,848517.0
2000,AFG,EGY,6,,414,
2000,AFG,ESP,,,,209721.0
2000,AFG,EST,,,,12399.0
2000,AFG,ETH,,,,16233.0
2000,AFG,FIN,,,284,9668642.0
2000,AFG,FRA,4,,2770,731437.0
2000,AFG,GBR,4,,11071,15520931.0
2000,AFG,GEO,,,42,
2000,AFG,GRC,,,331,190921.0
2000,AFG,HRV,,,,15633.0
2000,AFG,HUN,4,,532,248325.0
2000,AFG,IDN,4,,78,1240735.0
2000,AFG,IND,4,7,23370,25434645.0
2000,AFG,IRL,,,,327900.0
2000,AFG,IRN,6,5,2232283,1049594.0
2000,AFG,IRQ,,,269,
2000,AFG,ISL,,,1,4681.0
2000,AFG,ISR,,,2832,
2000,AFG,ITA,4,,249,1365826.0
2000,AFG,JOR,,,,1055080.0
2000,AFG,JPN,4,,506,465632.0
2000,AFG,KAZ,4,,6589,
2000,AFG,KEN,,,,27600.0
2000,AFG,KGZ,,,,112765.0
2000,AFG,KNA,,,,17513.0
2000,AFG,KOR,,,,70811.0
2000,AFG,KWT,4,1,1207,
2000,AFG,LBN,,,,993568.0
2000,AFG,LBY,6,,236,
2000,AFG,LKA,,,31,7957.0
2000,AFG,LTU,,,35,17485.0
2000,AFG,LUX,,,,8726.0
2000,AFG,LVA,,,24,
2000,AFG,MEX,,,21,518851.0
2000,AFG,MKD,,,,178.0
2000,AFG,MNG,,,,749280.0
2000,AFG,MUS,,,,72330.0
2000,AFG,MWI,,,,3160.0
2000,AFG,MYS,,,58,687966.0
2000,AFG,NAM,,,58,
2000,AFG,NER,,,,616.0
2000,AFG,NGA,,,,9256.0
2000,AFG,NIC,,,37,
2000,AFG,NLD,,,22120,2751473.0
2000,AFG,NOR,,,638,263616.0
2000,AFG,NZL,,,667,181951.0
2000,AFG,PAK,6,4,2069977,
2000,AFG,PER,,,,16982.0
2000,AFG,PHL,,,,49909.0
2000,AFG,POL,6,,,910260.0
2000,AFG,PRT,,,,43778.0
2000,AFG,PYF,,,,4248.0
2000,AFG,QAT,,,474,18765.0
2000,AFG,ROU,,,,10000.0
2000,AFG,RUS,6,,11486,5175404.0
2000,AFG,SAU,,,12608,363106.0
2000,AFG,SEN,,,,686.0
2000,AFG,SGP,,,,929387.0
2000,AFG,SLV,,,,341619.0
2000,AFG,SVK,,,315,2136.0
2000,AFG,SVN,,,,197878.0
2000,AFG,SWE,,,3945,532425.0
2000,AFG,SYR,4,,172,
2000,AFG,THA,,,,129714.0
2000,AFG,TJK,4,1,17118,
2000,AFG,TKM,,,1784,1046262.0
2000,AFG,TTO,,,,18957.0
2000,AFG,TUN,,,,194590.0
2000,AFG,TUR,6,3,9620,484118.0
2000,AFG,TWN,,,,14327.0
2000,AFG,TZA,,,,64474.00000000001
2000,AFG,UKR,6,,2416,
2000,AFG,URY,,,,4763.0
2000,AFG,USA,,,41681,725262.0
2000,AFG,UZB,4,,,
2000,AFG,VCT,,,,5624.0
2000,AFG,VNM,,,,93317.0
2000,AFG,ZAF,,,,25686.0
2000,AFG,ZWE,,,,6576.0
2000,AGO,ARE,,2,,
2000,AGO,ARG,,,,13550090.0
2000,AGO,AUS,,,417,42648.0
2000,AGO,AUT,6,,,2095.0
2000,AGO,BEL,6,,1801,627144560.0
2000,AGO,BFA,,,,16937.0
2000,AGO,BGR,,,4,1184.0
2000,AGO,BOL,,,4,
2000,AGO,BRA,6,2,7744,31221253.0
2000,AGO,BWA,6,,1320,123.0
2000,AGO,CAN,4,,,24793401.0
2000,AGO,CHE,,,,3562.0
2000,AGO,CHL,,,,83680141.0
2000,AGO,CHN,6,1,,1613991347.0
2000,AGO,CIV,6,,,16271.0
2000,AGO,COD,6,,325733,
2000,AGO,COG,,,31100,
2000,AGO,CPV,,,2209,3106.0
2000,AGO,CRI,,,2,1271.0
2000,AGO,CUB,6,1,106,39415.0
2000,AGO,CZE,,,,39877.0
2000,AGO,DEU,6,1,,85290636.0
2000,AGO,DNK,,,113,12906.0
2000,AGO,DZA,6,,,9691.0
2000,AGO,EGY,6,,,
2000,AGO,ERI,,,620,
2000,AGO,ESP,6,1,,165685416.0
2000,AGO,EST,,,,1192.0
2000,AGO,ETH,6,2,,990.0
2000,AGO,FIN,,,94,3097.0
2000,AGO,FRA,6,1,,332047670.0
2000,AGO,GAB,6,,572,986.0
2000,AGO,GBR,6,2,,3000793.0
2000,AGO,GRC,,,19,
