year,origin,destination,route_count
2014,ABW,CAN,2
2014,ABW,COL,2
2014,ABW,DOM,2
2014,ABW,NLD,1
2014,ABW,PAN,1
2014,ABW,SUR,1
2014,ABW,USA,21
2014,ABW,VEN,11
2014,AFG,ARE,7
2014,AFG,AZE,1
2014,AFG,IND,7
2014,AFG,IRN,5
2014,AFG,KWT,1
2014,AFG,PAK,4
2014,AFG,TJK,1
2014,AGO,ARE,2
2014,AGO,BRA,2
2014,AGO,CHN,1
2014,AGO,CUB,1
2014,AGO,DEU,1
2014,AGO,ESP,1
2014,AGO,ETH,2
2014,AGO,FRA,1
2014,AGO,GBR,2
2014,AGO,KEN,1
2014,AGO,MAR,1
2014,AGO,MOZ,1
2014,AGO,NAM,3
2014,AGO,NLD,1
2014,AGO,PRT,3
2014,AGO,STP,1
2014,AGO,ZAF,3
2014,AGO,ZWE,1
2014,AIA,ATG,1
2014,AIA,PRI,2
2014,AIA,VGB,1
2014,ALB,AUT,1
2014,ALB,DEU,2
2014,ALB,GBR,1
2014,ALB,GRC,2
2014,ALB,ITA,27
2014,ALB,SVN,1
2014,ARE,AFG,7
2014,ARE,AGO,2
2014,ARE,ARM,2
2014,ARE,AUS,16
2014,ARE,AUT,2
2014,ARE,AZE,2
2014,ARE,BEL,3
2014,ARE,BGD,10
2014,ARE,BGR,1
2014,ARE,BHR,15
2014,ARE,BLR,2
2014,ARE,BRA,3
2014,ARE,BRN,1
2014,ARE,CAN,3
2014,ARE,CHE,7
2014,ARE,CHN,16
2014,ARE,CYP,3
2014,ARE,CZE,2
2014,ARE,DEU,23
2014,ARE,DJI,1
2014,ARE,DNK,2
2014,ARE,DZA,2
2014,ARE,EGY,11
2014,ARE,ESP,2
2014,ARE,ETH,3
2014,ARE,FRA,7
2014,ARE,GBR,22
2014,ARE,GEO,1
2014,ARE,GHA,1
2014,ARE,GRC,3
2014,ARE,HKG,4
2014,ARE,HUN,1
2014,ARE,IDN,5
2014,ARE,IND,88
2014,ARE,IRL,4
2014,ARE,IRN,24
2014,ARE,IRQ,15
2014,ARE,ITA,8
2014,ARE,JOR,9
2014,ARE,JPN,8
2014,ARE,KAZ,7
2014,ARE,KEN,9
2014,ARE,KGZ,1
2014,ARE,KOR,5
2014,ARE,KWT,12
2014,ARE,LBN,6
2014,ARE,LBY,1
2014,ARE,LKA,12
2014,ARE,MAR,4
2014,ARE,MDA,1
2014,ARE,MDV,4
2014,ARE,MKD,1
2014,ARE,MLT,1
2014,ARE,MUS,2
2014,ARE,MYS,8
2014,ARE,NGA,2
2014,ARE,NLD,10
2014,ARE,NPL,4
2014,ARE,OMN,21
2014,ARE,PAK,51
2014,ARE,PHL,7
2014,ARE,POL,2
2014,ARE,PRT,2
2014,ARE,QAT,10
2014,ARE,ROU,3
2014,ARE,RUS,39
2014,ARE,RWA,1
2014,ARE,SAU,47
2014,ARE,SDN,10
2014,ARE,SEN,1
2014,ARE,SGP,11
2014,ARE,SOM,5
2014,ARE,SRB,3
2014,ARE,SSD,1
2014,ARE,SWE,2
2014,ARE,SYC,4
2014,ARE,THA,9
2014,ARE,TJK,3
2014,ARE,TKM,2
2014,ARE,TUN,2
2014,ARE,TWN,1
2014,ARE,TZA,1
2014,ARE,UGA,1
2014,ARE,UKR,10
2014,ARE,USA,24
2014,ARE,UZB,2
2014,ARE,VNM,3
2014,ARE,YEM,11
2014,ARE,ZAF,10
2014,ARE,ZMB,1
2014,ARG,BOL,2
2014,ARG,BRA,28
2014,ARG,CHL,9
2014,ARG,COL,2
2014,ARG,CUB,1
2014,ARG,DEU,1
2014,ARG,DOM,1
2014,ARG,ECU,1
2014,ARG,ESP,4
2014,ARG,FLK,1
2014,ARG,FRA,2
2014,ARG,GBR,1
2014,ARG,ITA,2
2014,ARG,MEX,2
2014,ARG,NLD,1
2014,ARG,PAN,2
2014,ARG,PER,4
2014,ARG,PRY,4
2014,ARG,URY,9
2014,ARG,USA,10
2014,ARG,VEN,2
2014,ARM,ARE,2
2014,ARM,AUT,3
2014,ARM,BLR,1
2014,ARM,CZE,2
2014,ARM,FRA,3
2014,ARM,GRC,1
2014,ARM,IRN,1
2014,ARM,ITA,1
2014,ARM,KAZ,1
2014,ARM,LBN,1
2014,ARM,POL,1
2014,ARM,RUS,27
2014,ARM,UKR,2
2014,ASM,USA,1
2014,ATG,AIA,1
2014,ATG,BRB,2
2014,ATG,CAN,2
2014,ATG,DEU,1
2014,ATG,DMA,1
2014,ATG,DOM,3
2014,ATG,FRA,2
2014,ATG,GBR,3
2014,ATG,GLP,2
2014,ATG,JAM,1
2014,ATG,KNA,4
2014,ATG,LCA,2
2014,ATG,PRI,1
2014,ATG,TTO,2
2014,ATG,USA,7
2014,AUS,ARE,16
2014,AUS,BRN,1
2014,AUS,CAN,1
2014,AUS,CHL,2
2014,AUS,CHN,17
2014,AUS,COK,1
2014,AUS,CXR,1
2014,AUS,FJI,11
