year,origin,destination,migrant_stock
2000,AFG,ARE,2588
2000,AFG,AUS,12511
2000,AFG,AUT,2129
2000,AFG,AZE,573
2000,AFG,BEL,1750
2000,AFG,BGR,223
2000,AFG,BHR,258
2000,AFG,BLR,292
2000,AFG,BRA,70
2000,AFG,CAN,19294
2000,AFG,CHE,1350
2000,AFG,CHN,465
2000,AFG,COL,13
2000,AFG,CRI,3
2000,AFG,CYP,4
2000,AFG,DEU,21132
2000,AFG,DNK,3410
2000,AFG,ECU,76
2000,AFG,EGY,414
2000,AFG,FIN,284
2000,AFG,FRA,2770
2000,AFG,GBR,11071
2000,AFG,GEO,42
2000,AFG,GRC,331
2000,AFG,HUN,532
2000,AFG,IDN,78
2000,AFG,IND,23370
2000,AFG,IRN,2232283
2000,AFG,IRQ,269
2000,AFG,ISL,1
2000,AFG,ISR,2832
2000,AFG,ITA,249
2000,AFG,JPN,506
2000,AFG,KAZ,6589
2000,AFG,KWT,1207
2000,AFG,LBY,236
2000,AFG,LKA,31
2000,AFG,LTU,35
2000,AFG,LVA,24
2000,AFG,MEX,21
2000,AFG,MYS,58
2000,AFG,NAM,58
2000,AFG,NIC,37
2000,AFG,NLD,22120
2000,AFG,NOR,638
2000,AFG,NZL,667
2000,AFG,PAK,2069977
2000,AFG,QAT,474
2000,AFG,RUS,11486
2000,AFG,SAU,12608
2000,AFG,SVK,315
2000,AFG,SWE,3945
2000,AFG,SYR,172
2000,AFG,TJK,17118
2000,AFG,TKM,1784
2000,AFG,TUR,9620
2000,AFG,UKR,2416
2000,AFG,USA,41681
2000,AGO,AUS,417
2000,AGO,BEL,1801
2000,AGO,BGR,4
2000,AGO,BOL,4
2000,AGO,BRA,7744
2000,AGO,BWA,1320
2000,AGO,COD,325733
2000,AGO,COG,31100
2000,AGO,CPV,2209
2000,AGO,CRI,2
2000,AGO,CUB,106
2000,AGO,DNK,113
2000,AGO,ERI,620
2000,AGO,FIN,94
2000,AGO,GAB,572
2000,AGO,GRC,19
2000,AGO,HUN,53
2000,AGO,ISL,19
2000,AGO,ITA,1054
2000,AGO,LVA,2
2000,AGO,MEX,46
2000,AGO,MLI,67
2000,AGO,MOZ,22937
2000,AGO,NAM,49790
2000,AGO,NOR,103
2000,AGO,PRT,173193
2000,AGO,STP,654
2000,AGO,SVK,16
2000,AGO,SWZ,166
2000,AGO,TZA,1018
2000,AGO,VEN,161
2000,AGO,ZMB,238248
2000,ALB,AUS,1529
2000,ALB,AUT,1758
2000,ALB,BEL,1080
2000,ALB,BGR,528
2000,ALB,CAN,4254
2000,ALB,CHL,36
2000,ALB,COL,12
2000,ALB,CRI,3
2000,ALB,CUB,226
2000,ALB,CYP,126
2000,ALB,DNK,86
2000,ALB,FIN,34
2000,ALB,FRA,3185
2000,ALB,GEO,11
2000,ALB,GRC,400253
2000,ALB,HRV,157
2000,ALB,HUN,129
2000,ALB,ISL,20
2000,ALB,ITA,141643
2000,ALB,LBY,223
2000,ALB,LTU,6
2000,ALB,LUX,264
2000,ALB,LVA,8
2000,ALB,MKD,69367
2000,ALB,MLT,48
2000,ALB,MNE,2511
2000,ALB,NOR,149
2000,ALB,PRT,40
2000,ALB,ROU,685
2000,ALB,SMR,31
2000,ALB,SRB,263
2000,ALB,SVK,60
2000,ALB,SVN,76
2000,ALB,SWE,351
2000,ALB,VEN,16
2000,AND,CAN,10
2000,AND,DNK,1
2000,AND,FIN,1
2000,AND,GRC,4
2000,AND,NOR,3
2000,AND,PRT,417
2000,ARE,AUS,1393
2000,ARE,BGR,26
2000,ARE,BHR,1948
2000,ARE,BLR,23
2000,ARE,BOL,2
2000,ARE,CAN,5366
2000,ARE,CYP,69
2000,ARE,DNK,194
2000,ARE,EGY,671
2000,ARE,FIN,30
2000,ARE,GRC,77
2000,ARE,HUN,123
2000,ARE,IND,13769
2000,ARE,IRQ,248
2000,ARE,ISL,1
2000,ARE,ITA,109
2000,ARE,KAZ,616
2000,ARE,KWT,9112
2000,ARE,LBY,2044
2000,ARE,LKA,413
2000,ARE,LTU,14
2000,ARE,LVA,2
2000,ARE,MLT,9
2000,ARE,MRT,68
2000,ARE,NOR,82
2000,ARE,NZL,411
2000,ARE,PSE,10145
2000,ARE,QAT,46625
2000,ARE,SVK,43
2000,ARE,SVN,2
2000,ARE,TUR,146
2000,ARG,AND,151
2000,ARG,AUS,12032
2000,ARG,BEL,1581
2000,ARG,BGR,53
2000,ARG,BHS,9
2000,ARG,BLR,107
2000,ARG,BOL,28095
2000,ARG,BRA,26818
2000,ARG,CAN,11920
2000,ARG,CHE,5865
2000,ARG,CHL,44702
2000,ARG,CHN,1226
2000,ARG,COL,2278
2000,ARG,CPV,10
2000,ARG,CRI,1120
2000,ARG,CUB,190
2000,ARG,CUW,22
2000,ARG,CYP,38
2000,ARG,DNK,936
2000,ARG,DOM,3227
2000,ARG,ECU,2190
2000,ARG,ESP,95414
2000,ARG,FIN,132
2000,ARG,GEO,16
2000,ARG,GRC,626
2000,ARG,GTM,350
2000,ARG,HND,142
2000,ARG,HRV,171
2000,ARG,HTI,419
2000,ARG,HUN,223
2000,ARG,ISL,13
2000,ARG,ISR,31692
2000,ARG,ITA,49381
2000,ARG,JPN,3047
2000,ARG,LTU,72
2000,ARG,LUX,35
2000,ARG,LVA,20
2000,ARG,MEX,6633
2000,ARG,MLT,10
