year,origin,destination,trade_value
2000,ABW,ATG,3919.0
2000,ABW,AUT,496455.0
2000,ABW,BEL,20121260.0
2000,ABW,BGR,787292.0
2000,ABW,BRA,26012628.0
2000,ABW,BRB,24934.0
2000,ABW,CHE,1143.0
2000,ABW,COL,13564997.0
2000,ABW,CRI,11798.0
2000,ABW,CUB,3211662.0
2000,ABW,CYP,624.0
2000,ABW,CZE,87.0
2000,ABW,DEU,1610530.0
2000,ABW,DMA,2736.0
2000,ABW,ECU,485.0
2000,ABW,ESP,19010193.0
2000,ABW,FRA,9962990.0
2000,ABW,GBR,30950943.0
2000,ABW,GIN,129771.0
2000,ABW,GRD,16895.0
2000,ABW,GTM,98258809.0
2000,ABW,GUY,10277.0
2000,ABW,HKG,248.0
2000,ABW,IDN,14087.0
2000,ABW,IRL,3122.0
2000,ABW,IRN,2293821.0
2000,ABW,ITA,1553018.0
2000,ABW,JAM,84654.0
2000,ABW,KHM,151143.0
2000,ABW,KNA,12325.0
2000,ABW,KOR,35882.0
2000,ABW,LBN,260182.00000000003
2000,ABW,MEX,5625917.0
2000,ABW,MKD,166.0
2000,ABW,MNG,1704.0
2000,ABW,NGA,1417.0
2000,ABW,NIC,58660.0
2000,ABW,NLD,35992374.0
2000,ABW,PAN,2180340.0
2000,ABW,PER,1056.0
2000,ABW,PHL,886984.0
2000,ABW,SDN,1205098.0
2000,ABW,SGP,4507814.0
2000,ABW,SLV,85220828.0
2000,ABW,THA,1843.0
2000,ABW,TTO,485.0
2000,ABW,TUR,1518772.0
2000,ABW,TZA,1525.0
2000,ABW,USA,1341792641.0
2000,ABW,VEN,14485467.0
2000,ABW,VNM,137464.0
2000,ABW,ZAF,220.0
2000,ABW,ZWE,759.0
2000,AFG,AND,36729.0
2000,AFG,ATG,1687.0
2000,AFG,AUS,32848.0
2000,AFG,AUT,294736.0
2000,AFG,AZE,2827.0
2000,AFG,BEL,18132930.0
2000,AFG,BGR,10029.0
2000,AFG,BLR,1815277.0
2000,AFG,BOL,33389.0
2000,AFG,BRA,1253133.0
2000,AFG,BRB,13.0
2000,AFG,CAN,402084.0
2000,AFG,CHE,256088.00000000003
2000,AFG,CHL,54397.0
2000,AFG,CHN,5394041.0
2000,AFG,CIV,5332.0
2000,AFG,CMR,4185.0
2000,AFG,COL,19458.0
2000,AFG,CRI,229633.0
2000,AFG,CYP,2594.0
2000,AFG,CZE,320036.0
2000,AFG,DEU,5576831.0
2000,AFG,DMA,12639.0
2000,AFG,DNK,1144913.0
2000,AFG,DZA,24812.0
2000,AFG,ECU,848517.0
2000,AFG,ESP,209721.0
2000,AFG,EST,12399.0
2000,AFG,ETH,16233.0
2000,AFG,FIN,9668642.0
2000,AFG,FRA,731437.0
2000,AFG,GBR,15520931.0
2000,AFG,GRC,190921.0
2000,AFG,HRV,15633.0
2000,AFG,HUN,248325.0
2000,AFG,IDN,1240735.0
2000,AFG,IND,25434645.0
2000,AFG,IRL,327900.0
2000,AFG,IRN,1049594.0
2000,AFG,ISL,4681.0
2000,AFG,ITA,1365826.0
2000,AFG,JOR,1055080.0
2000,AFG,JPN,465632.0
2000,AFG,KEN,27600.0
2000,AFG,KGZ,112765.0
2000,AFG,KNA,17513.0
2000,AFG,KOR,70811.0
2000,AFG,LBN,993568.0
2000,AFG,LKA,7957.0
2000,AFG,LTU,17485.0
2000,AFG,LUX,8726.0
2000,AFG,MEX,518851.0
2000,AFG,MKD,178.0
2000,AFG,MNG,749280.0
2000,AFG,MUS,72330.0
2000,AFG,MWI,3160.0
2000,AFG,MYS,687966.0
2000,AFG,NER,616.0
2000,AFG,NGA,9256.0
2000,AFG,NLD,2751473.0
2000,AFG,NOR,263616.0
2000,AFG,NZL,181951.0
2000,AFG,PER,16982.0
2000,AFG,PHL,49909.0
2000,AFG,POL,910260.0
2000,AFG,PRT,43778.0
2000,AFG,PYF,4248.0
2000,AFG,QAT,18765.0
2000,AFG,ROU,10000.0
2000,AFG,RUS,5175404.0
2000,AFG,SAU,363106.0
2000,AFG,SEN,686.0
2000,AFG,SGP,929387.0
2000,AFG,SLV,341619.0
2000,AFG,SVK,2136.0
2000,AFG,SVN,197878.0
2000,AFG,SWE,532425.0
2000,AFG,THA,129714.0
2000,AFG,TKM,1046262.0
2000,AFG,TTO,18957.0
2000,AFG,TUN,194590.0
2000,AFG,TUR,484118.0
2000,AFG,TWN,14327.0
2000,AFG,TZA,64474.00000000001
2000,AFG,URY,4763.0
2000,AFG,USA,725262.0
2000,AFG,VCT,5624.0
2000,AFG,VNM,93317.0
2000,AFG,ZAF,25686.0
2000,AFG,ZWE,6576.0
2000,AGO,ARG,13550090.0
2000,AGO,AUS,42648.0
2000,AGO,AUT,2095.0
2000,AGO,BEL,627144560.0
2000,AGO,BFA,16937.0
2000,AGO,BGR,1184.0
2000,AGO,BRA,31221253.0
2000,AGO,BWA,123.0
2000,AGO,CAN,24793401.0
2000,AGO,CHE,3562.0
2000,AGO,CHL,83680141.0
2000,AGO,CHN,1613991347.0
2000,AGO,CIV,16271.0
2000,AGO,CPV,3106.0
2000,AGO,CRI,1271.0
2000,AGO,CUB,39415.0
2000,AGO,CZE,39877.0
2000,AGO,DEU,85290636.0
2000,AGO,DNK,12906.0
2000,AGO,DZA,9691.0
2000,AGO,ESP,165685416.0
2000,AGO,EST,1192.0
2000,AGO,ETH,990.0
2000,AGO,FIN,3097.0
2000,AGO,FRA,332047670.0
2000,AGO,GAB,986.0
2000,AGO,GBR,3000793.0
2000,AGO,HKG,146912.0
2000,AGO,IDN,9156.0
2000,AGO,IRL,38871.0
2000,AGO,ITA,18012110.0
2000,AGO,JPN,2756544.0
2000,AGO,KEN,17008.0
2000,AGO,KHM,598.0
2000,AGO,KOR,572364070.0
2000,AGO,LBN,7003.0
2000,AGO,MAC,4496.0
2000,AGO,MEX,32383.000000000004
2000,AGO,NAM,1989826.0
2000,AGO,NGA,862026.0
2000,AGO,NLD,36033927.0
2000,AGO,NOR,173630.0
2000,AGO,PHL,62751.0
2000,AGO,PRT,47274187.0
2000,AGO,ROU,1000.0
2000,AGO,RUS,5019.0
2000,AGO,SGP,7442941.0
2000,AGO,SLV,35645.0
2000,AGO,STP,2928792.0
2000,AGO,SVK,518.0
2000,AGO,SVN,45276.0
2000,AGO,SWE,36534.0
2000,AGO,SWZ,36.0
2000,AGO,TGO,3012.0
2000,AGO,THA,21511318.0
2000,AGO,TUN,43485.0
2000,AGO,TWN,262902922.00000003
2000,AGO,USA,3112043071.0
2000,AGO,VEN,19793.0
2000,AGO,VNM,44869.0
2000,AGO,ZAF,9754669.0
2000,AGO,ZWE,542.0
2000,AIA,ATG,12636.0
2000,AIA,AUT,14481.0
2000,AIA,AZE,91212.0
2000,AIA,BEL,1755.0
2000,AIA,BGR,203.0
2000,AIA,BLR,387.0
2000,AIA,BRB,8505.0
2000,AIA,CAN,5751.0
2000,AIA,CHE,29919.0
2000,AIA,DEU,22510.0
2000,AIA,DMA,16184.000000000002
2000,AIA,ESP,34248.0
2000,AIA,EST,14868.0
2000,AIA,FRA,568264.0
2000,AIA,GBR,205745.0
2000,AIA,GRC,10125.0
2000,AIA,GRD,69735.0
2000,AIA,GUY,115.0
2000,AIA,IDN,44084.0
2000,AIA,IRL,38102.0
2000,AIA,ITA,590.0
2000,AIA,JAM,9122.0
2000,AIA,JPN,133300.0
2000,AIA,KHM,756.0
2000,AIA,KNA,8811.0
2000,AIA,KOR,125168.0
2000,AIA,MEX,1702.0
2000,AIA,NAM,20.0
2000,AIA,NLD,25780.0
2000,AIA,RUS,53805.0
2000,AIA,SLV,66048.0
2000,AIA,SVK,150.0
2000,AIA,SWE,1091.0
2000,AIA,TTO,4762.0
2000,AIA,TZA,5058.0
2000,AIA,USA,875228.0
