country,coub,fborn,sex,edu_lfs,edu_cen,number,reg_oecd_2000,reg_oecd_2010,reg_regions
AUS,ABW,1,1,2,2,10,0,0,SCAC
AUS,ABW,1,1,3,3,9,0,0,SCAC
AUS,ABW,1,2,2,2,6,0,0,SCAC
AUS,ABW,1,2,3,3,5,0,0,SCAC
AUS,AFG,1,1,1,1,1600,0,0,ASIA
AUS,AFG,1,1,2,2,2777,0,0,ASIA
AUS,AFG,1,1,3,3,1300,0,0,ASIA
AUS,AFG,1,1,3,4,37,0,0,ASIA
AUS,AFG,1,1,99,99,1957,0,0,ASIA
AUS,AFG,1,2,1,1,1221,0,0,ASIA
AUS,AFG,1,2,2,2,2269,0,0,ASIA
AUS,AFG,1,2,3,3,1018,0,0,ASIA
AUS,AFG,1,2,3,4,15,0,0,ASIA
AUS,AFG,1,2,99,99,1915,0,0,ASIA
AUS,AGO,1,1,1,1,37,0,0,AFRI
AUS,AGO,1,1,2,2,77,0,0,AFRI
AUS,AGO,1,1,3,3,69,0,0,AFRI
AUS,AGO,1,1,99,99,12,0,0,AFRI
AUS,AGO,1,2,1,1,42,0,0,AFRI
AUS,AGO,1,2,2,2,71,0,0,AFRI
AUS,AGO,1,2,3,3,69,0,0,AFRI
AUS,AGO,1,2,99,99,15,0,0,AFRI
AUS,ALB,1,1,1,1,273,0,0,EURO
AUS,ALB,1,1,2,2,413,0,0,EURO
AUS,ALB,1,1,3,3,93,0,0,EURO
AUS,ALB,1,1,3,4,3,0,0,EURO
AUS,ALB,1,1,99,99,186,0,0,EURO
AUS,ALB,1,2,1,1,249,0,0,EURO
AUS,ALB,1,2,2,2,347,0,0,EURO
AUS,ALB,1,2,3,3,123,0,0,EURO
AUS,ALB,1,2,99,99,193,0,0,EURO
AUS,AND,1,1,3,3,3,0,0,EURO
AUS,AND,1,2,3,4,3,0,0,EURO
AUS,ANT,1,1,1,1,3,0,0,SCAC
AUS,ANT,1,1,2,2,22,0,0,SCAC
AUS,ANT,1,1,3,3,26,0,0,SCAC
AUS,ANT,1,1,3,4,3,0,0,SCAC
AUS,ANT,1,1,99,99,3,0,0,SCAC
AUS,ANT,1,2,1,1,3,0,0,SCAC
AUS,ANT,1,2,2,2,27,0,0,SCAC
AUS,ANT,1,2,3,3,34,0,0,SCAC
AUS,ANT,1,2,3,4,7,0,0,SCAC
AUS,ANT,1,2,99,99,14,0,0,SCAC
AUS,ARE,1,1,1,1,62,0,0,ASIA
AUS,ARE,1,1,2,2,539,0,0,ASIA
AUS,ARE,1,1,3,3,361,0,0,ASIA
AUS,ARE,1,1,3,4,3,0,0,ASIA
AUS,ARE,1,1,99,99,115,0,0,ASIA
AUS,ARE,1,2,1,1,61,0,0,ASIA
AUS,ARE,1,2,2,2,313,0,0,ASIA
AUS,ARE,1,2,3,3,267,0,0,ASIA
AUS,ARE,1,2,3,4,6,0,0,ASIA
AUS,ARE,1,2,99,99,39,0,0,ASIA
AUS,ARG,1,1,1,1,775,0,0,SCAC
AUS,ARG,1,1,2,2,2458,0,0,SCAC
AUS,ARG,1,1,3,3,1406,0,0,SCAC
AUS,ARG,1,1,3,4,53,0,0,SCAC
AUS,ARG,1,1,99,99,580,0,0,SCAC
AUS,ARG,1,2,1,1,1087,0,0,SCAC
AUS,ARG,1,2,2,2,1993,0,0,SCAC
AUS,ARG,1,2,3,3,1833,0,0,SCAC
AUS,ARG,1,2,3,4,58,0,0,SCAC
AUS,ARG,1,2,99,99,715,0,0,SCAC
AUS,ASM,1,1,1,1,10,0,0,OCEA
AUS,ASM,1,1,2,2,55,0,0,OCEA
AUS,ASM,1,1,3,3,9,0,0,OCEA
AUS,ASM,1,1,99,99,10,0,0,OCEA
AUS,ASM,1,2,1,1,15,0,0,OCEA
AUS,ASM,1,2,2,2,35,0,0,OCEA
AUS,ASM,1,2,3,3,7,0,0,OCEA
AUS,ASM,1,2,99,99,13,0,0,OCEA
AUS,ATG,1,1,3,3,3,0,0,SCAC
AUS,ATG,1,1,99,99,3,0,0,SCAC
AUS,ATG,1,2,1,1,3,0,0,SCAC
AUS,ATG,1,2,2,2,3,0,0,SCAC
AUS,ATG,1,2,3,3,10,0,0,SCAC
AUS,AUS,0,1,1,1,1333758,1,1,OCEA
AUS,AUS,0,1,2,2,2379462,1,1,OCEA
AUS,AUS,0,1,3,3,973671,1,1,OCEA
AUS,AUS,0,1,3,4,32976,1,1,OCEA
AUS,AUS,0,1,99,99,421243,1,1,OCEA
AUS,AUS,0,2,1,1,1786319,1,1,OCEA
AUS,AUS,0,2,2,2,1804588,1,1,OCEA
AUS,AUS,0,2,3,3,1291632,1,1,OCEA
AUS,AUS,0,2,3,4,19620,1,1,OCEA
AUS,AUS,0,2,99,99,540343,1,1,OCEA
AUS,AUT,1,1,1,1,1361,1,1,EURO
AUS,AUT,1,1,2,2,4975,1,1,EURO
AUS,AUT,1,1,3,3,1633,1,1,EURO
AUS,AUT,1,1,3,4,139,1,1,EURO
AUS,AUT,1,1,99,99,1197,1,1,EURO
AUS,AUT,1,2,1,1,2336,1,1,EURO
AUS,AUT,1,2,2,2,2405,1,1,EURO
AUS,AUT,1,2,3,3,1790,1,1,EURO
AUS,AUT,1,2,3,4,86,1,1,EURO
AUS,AUT,1,2,99,99,1702,1,1,EURO
AUS,BDI,1,1,1,1,123,0,0,AFRI
AUS,BDI,1,1,2,2,66,0,0,AFRI
AUS,BDI,1,1,3,3,43,0,0,AFRI
AUS,BDI,1,1,99,99,68,0,0,AFRI
AUS,BDI,1,2,1,1,125,0,0,AFRI
AUS,BDI,1,2,2,2,19,0,0,AFRI
AUS,BDI,1,2,3,3,18,0,0,AFRI
AUS,BDI,1,2,99,99,110,0,0,AFRI
AUS,BEL,1,1,1,1,314,1,1,EURO
AUS,BEL,1,1,2,2,866,1,1,EURO
AUS,BEL,1,1,3,3,790,1,1,EURO
AUS,BEL,1,1,3,4,72,1,1,EURO
AUS,BEL,1,1,99,99,270,1,1,EURO
AUS,BEL,1,2,1,1,489,1,1,EURO
AUS,BEL,1,2,2,2,718,1,1,EURO
AUS,BEL,1,2,3,3,854,1,1,EURO
AUS,BEL,1,2,3,4,42,1,1,EURO
AUS,BEL,1,2,99,99,327,1,1,EURO
AUS,BEN,1,1,3,3,4,0,0,AFRI
AUS,BEN,1,1,99,99,7,0,0,AFRI
AUS,BEN,1,2,1,1,4,0,0,AFRI
AUS,BEN,1,2,2,2,3,0,0,AFRI
AUS,BFA,1,1,1,1,7,0,0,AFRI
AUS,BFA,1,1,3,3,6,0,0,AFRI
AUS,BFA,1,1,3,4,3,0,0,AFRI
AUS,BFA,1,2,2,2,3,0,0,AFRI
AUS,BFA,1,2,3,3,6,0,0,AFRI
AUS,BGD,1,1,1,1,242,0,0,ASIA
AUS,BGD,1,1,2,2,1920,0,0,ASIA
AUS,BGD,1,1,3,3,5767,0,0,ASIA
