country,coub,sex,age_lfs,fborn,oecd,oecdb,edu_lfs,number
AUS,99,Male,15-24,Unknown,OECD member,Unknown,ISCED 0/1/2,585
AUS,99,Male,15-24,Unknown,OECD member,Unknown,ISCED 3/4,3790
AUS,99,Male,15-24,Unknown,OECD member,Unknown,ISCED 5/6/7/8,298
AUS,99,Male,15-24,Unknown,OECD member,Unknown,Unknown,75511
AUS,99,Male,25-64,Unknown,OECD member,Unknown,ISCED 0/1/2,5566
AUS,99,Male,25-64,Unknown,OECD member,Unknown,ISCED 3/4,26672
AUS,99,Male,25-64,Unknown,OECD member,Unknown,ISCED 5/6/7/8,8844
AUS,99,Male,25-64,Unknown,OECD member,Unknown,Unknown,348204
AUS,99,Male,65+,Unknown,OECD member,Unknown,ISCED 0/1/2,9808
AUS,99,Male,65+,Unknown,OECD member,Unknown,ISCED 3/4,19427
AUS,99,Male,65+,Unknown,OECD member,Unknown,ISCED 5/6/7/8,4258
AUS,99,Male,65+,Unknown,OECD member,Unknown,Unknown,100126
AUS,99,Female,15-24,Unknown,OECD member,Unknown,ISCED 0/1/2,450
AUS,99,Female,15-24,Unknown,OECD member,Unknown,ISCED 3/4,3189
AUS,99,Female,15-24,Unknown,OECD member,Unknown,ISCED 5/6/7/8,446
AUS,99,Female,15-24,Unknown,OECD member,Unknown,Unknown,67407
AUS,99,Female,25-64,Unknown,OECD member,Unknown,ISCED 0/1/2,4776
AUS,99,Female,25-64,Unknown,OECD member,Unknown,ISCED 3/4,22059
AUS,99,Female,25-64,Unknown,OECD member,Unknown,ISCED 5/6/7/8,13702
AUS,99,Female,25-64,Unknown,OECD member,Unknown,Unknown,300395
AUS,99,Female,65+,Unknown,OECD member,Unknown,ISCED 0/1/2,12229
AUS,99,Female,65+,Unknown,OECD member,Unknown,ISCED 3/4,17853
AUS,99,Female,65+,Unknown,OECD member,Unknown,ISCED 5/6/7/8,5841
AUS,99,Female,65+,Unknown,OECD member,Unknown,Unknown,113954
AUS,AFG,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,741
AUS,AFG,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,3505
AUS,AFG,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,366
AUS,AFG,Male,15-24,Foreign-born,OECD member,not OECD member,Unknown,171
AUS,AFG,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,10043
AUS,AFG,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,9677
AUS,AFG,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,4390
AUS,AFG,Male,25-64,Foreign-born,OECD member,not OECD member,Unknown,1347
AUS,AFG,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,573
AUS,AFG,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,372
AUS,AFG,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,437
AUS,AFG,Male,65+,Foreign-born,OECD member,not OECD member,Unknown,97
AUS,AFG,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,731
AUS,AFG,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,2976
AUS,AFG,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,567
AUS,AFG,Female,15-24,Foreign-born,OECD member,not OECD member,Unknown,170
AUS,AFG,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,7731
AUS,AFG,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,5379
AUS,AFG,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,4167
AUS,AFG,Female,25-64,Foreign-born,OECD member,not OECD member,Unknown,887
AUS,AFG,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,748
AUS,AFG,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,268
AUS,AFG,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,180
AUS,AFG,Female,65+,Foreign-born,OECD member,not OECD member,Unknown,67
AUS,AFRI,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,6
AUS,AFRI,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,8
AUS,AFRI,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,62
AUS,AFRI,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,28
AUS,AFRI,Male,25-64,Foreign-born,OECD member,not OECD member,Unknown,11
AUS,AFRI,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,10
AUS,AFRI,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,52
AUS,AFRI,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,22
AUS,AFRI,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,8
AUS,AFRI,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,8
AUS,AFRI,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,77
AUS,AFRI,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,50
AUS,AFRI,Female,25-64,Foreign-born,OECD member,not OECD member,Unknown,18
AUS,AFRI,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,8
AUS,AFRI,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,77
AUS,AFRI,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,44
AUS,AFRI,Female,65+,Foreign-born,OECD member,not OECD member,Unknown,22
AUS,AGO,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,5
AUS,AGO,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,14
AUS,AGO,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,105
AUS,AGO,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,76
AUS,AGO,Male,25-64,Foreign-born,OECD member,not OECD member,Unknown,22
AUS,AGO,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,8
AUS,AGO,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,13
AUS,AGO,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,19
