year,origin,destination,diplomatic_relation,aviation_routes,migrant_stock
2000,ABW,CAN,,2,
2000,ABW,COL,,2,
2000,ABW,DOM,,2,
2000,ABW,NLD,,1,
2000,ABW,PAN,,1,
2000,ABW,SUR,,1,
2000,ABW,USA,,21,
2000,ABW,VEN,,11,
2000,AFG,ARE,6,7,2588
2000,AFG,AUS,,,12511
2000,AFG,AUT,4,,2129
2000,AFG,AZE,,1,573
2000,AFG,BEL,,,1750
2000,AFG,BGD,4,,
2000,AFG,BGR,4,,223
2000,AFG,BHR,,,258
2000,AFG,BLR,,,292
2000,AFG,BRA,,,70
2000,AFG,CAN,,,19294
2000,AFG,CHE,,,1350
2000,AFG,CHN,4,,465
2000,AFG,COL,,,13
2000,AFG,CRI,,,3
2000,AFG,CUB,6,,
2000,AFG,CYP,,,4
2000,AFG,CZE,4,,
2000,AFG,DEU,4,,21132
2000,AFG,DNK,,,3410
2000,AFG,ECU,,,76
2000,AFG,EGY,6,,414
2000,AFG,FIN,,,284
2000,AFG,FRA,4,,2770
2000,AFG,GBR,4,,11071
2000,AFG,GEO,,,42
2000,AFG,GRC,,,331
2000,AFG,HUN,4,,532
2000,AFG,IDN,4,,78
2000,AFG,IND,4,7,23370
2000,AFG,IRN,6,5,2232283
2000,AFG,IRQ,,,269
2000,AFG,ISL,,,1
2000,AFG,ISR,,,2832
2000,AFG,ITA,4,,249
2000,AFG,JPN,4,,506
2000,AFG,KAZ,4,,6589
2000,AFG,KWT,4,1,1207
2000,AFG,LBY,6,,236
2000,AFG,LKA,,,31
2000,AFG,LTU,,,35
2000,AFG,LVA,,,24
2000,AFG,MEX,,,21
2000,AFG,MYS,,,58
2000,AFG,NAM,,,58
2000,AFG,NIC,,,37
2000,AFG,NLD,,,22120
2000,AFG,NOR,,,638
2000,AFG,NZL,,,667
2000,AFG,PAK,6,4,2069977
2000,AFG,POL,6,,
2000,AFG,QAT,,,474
2000,AFG,RUS,6,,11486
2000,AFG,SAU,,,12608
2000,AFG,SVK,,,315
2000,AFG,SWE,,,3945
2000,AFG,SYR,4,,172
2000,AFG,TJK,4,1,17118
2000,AFG,TKM,,,1784
2000,AFG,TUR,6,3,9620
2000,AFG,UKR,6,,2416
2000,AFG,USA,,,41681
2000,AFG,UZB,4,,
2000,AGO,ARE,,2,
