Rank,Country,PageRank
1,USA,0.0668344630795795
2,GBR,0.050806492596371426
3,DEU,0.04436512817491024
4,ESP,0.03932187450991863
5,FRA,0.032878402127404845
6,CHN,0.02885861040731214
7,ITA,0.02866255445397686
8,RUS,0.02133274951719686
9,ARE,0.019777612771106116
10,CAN,0.018205723332626926
11,JPN,0.016843320070007443
12,TUR,0.01600951469389622
13,AUS,0.013141746567469208
14,NLD,0.013022134780251101
15,KOR,0.01266080083524606
16,IND,0.012570697946753652
17,MEX,0.012220326200791637
18,GRC,0.011938035281342203
19,SGP,0.011370022316880156
20,SAU,0.011006339804691739
