国名,媒介中心性,順位
USA,0.4671491907483575,1
DEU,0.30286843651514345,2
GBR,0.26480957213824047,3
FRA,0.22391966241119599,4
CHN,0.17143849153357194,5
ESP,0.15455905133272796,6
RUS,0.14168580738208428,7
ETH,0.13038833395651941,8
IND,0.12707654505635382,9
BGD,0.12534052668126702,10
VEN,0.11033064473051653,11
SDN,0.10424122643021207,12
AUS,0.0854121040542706,13
SSD,0.06514075102825703,14
ITA,0.061882378078094116,15
TUR,0.05549917205277496,16
NGA,0.054751348752737565,17
SEN,0.052828374552641416,18
PSE,0.05197371935259869,19
COD,0.04532343357726617,20
