weight_method,ratio,combination,code,layers,n_layers,centrality_type,accuracy,matches,predicted_top20,matched_countries
uniform,N/A,移住のみ,M,migration,1,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
uniform,N/A,移住+外交,MD,migration+diplomacy,2,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
uniform,N/A,移住+航空,MA,migration+aviation,2,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
uniform,N/A,移住+貿易,MT,migration+trade,2,degree,0.6,12,"['USA', 'DEU', 'CHN', 'GBR', 'JPN', 'FRA', 'NLD', 'HKG', 'ITA', 'CAN', 'KOR', 'BEL', 'ESP', 'MEX', 'IND', 'SGP', 'TWN', 'CHE', 'RUS', 'AUS']","['AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'USA']"
uniform,N/A,移住+外交+航空,MDA,migration+diplomacy+aviation,3,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
uniform,N/A,移住+外交+貿易,MDT,migration+diplomacy+trade,3,degree,0.6,12,"['USA', 'DEU', 'CHN', 'GBR', 'JPN', 'FRA', 'NLD', 'HKG', 'ITA', 'CAN', 'KOR', 'BEL', 'ESP', 'MEX', 'IND', 'SGP', 'TWN', 'CHE', 'RUS', 'AUS']","['AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'USA']"
uniform,N/A,移住+航空+貿易,MAT,migration+aviation+trade,3,degree,0.6,12,"['USA', 'DEU', 'CHN', 'GBR', 'JPN', 'FRA', 'NLD', 'HKG', 'ITA', 'CAN', 'KOR', 'BEL', 'ESP', 'MEX', 'IND', 'SGP', 'TWN', 'CHE', 'RUS', 'AUS']","['AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'USA']"
uniform,N/A,全レイヤー,ALL,migration+diplomacy+aviation+trade,4,degree,0.6,12,"['USA', 'DEU', 'CHN', 'GBR', 'JPN', 'FRA', 'NLD', 'HKG', 'ITA', 'CAN', 'KOR', 'BEL', 'ESP', 'MEX', 'IND', 'SGP', 'TWN', 'CHE', 'RUS', 'AUS']","['AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'USA']"
normalized,N/A,移住のみ,M,migration,1,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
normalized,N/A,移住+外交,MD,migration+diplomacy,2,degree,0.85,17,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ITA', 'ESP', 'UKR', 'ARE', 'PAK', 'BEL', 'JPN', 'IRN', 'MYS', 'JOR', 'CHN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
normalized,N/A,移住+航空,MA,migration+aviation,2,degree,0.85,17,"['USA', 'DEU', 'GBR', 'RUS', 'ESP', 'FRA', 'ITA', 'CAN', 'SAU', 'ARE', 'IND', 'CHN', 'AUS', 'UKR', 'JPN', 'TUR', 'PAK', 'HKG', 'NLD', 'GRC']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
normalized,N/A,移住+貿易,MT,migration+trade,2,degree,0.75,15,"['USA', 'DEU', 'FRA', 'RUS', 'GBR', 'CHN', 'CAN', 'JPN', 'ITA', 'SAU', 'IND', 'HKG', 'ESP', 'NLD', 'AUS', 'ARE', 'BEL', 'UKR', 'KOR', 'SGP']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'SAU', 'UKR', 'USA']"
normalized,N/A,移住+外交+航空,MDA,migration+diplomacy+aviation,3,degree,0.8,16,"['USA', 'DEU', 'GBR', 'RUS', 'FRA', 'ESP', 'ITA', 'CAN', 'SAU', 'IND', 'CHN', 'ARE', 'AUS', 'JPN', 'TUR', 'BEL', 'UKR', 'NLD', 'PAK', 'GRC']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'IND', 'ITA', 'JPN', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
normalized,N/A,移住+外交+貿易,MDT,migration+diplomacy+trade,3,degree,0.75,15,"['USA', 'DEU', 'FRA', 'GBR', 'RUS', 'CHN', 'CAN', 'JPN', 'ITA', 'IND', 'SAU', 'ESP', 'NLD', 'AUS', 'BEL', 'HKG', 'ARE', 'KOR', 'UKR', 'CHE']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'SAU', 'UKR', 'USA']"
normalized,N/A,移住+航空+貿易,MAT,migration+aviation+trade,3,degree,0.75,15,"['USA', 'DEU', 'GBR', 'FRA', 'ESP', 'CHN', 'RUS', 'ITA', 'CAN', 'JPN', 'SAU', 'IND', 'HKG', 'NLD', 'ARE', 'AUS', 'KOR', 'BEL', 'TUR', 'SGP']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'SAU', 'TUR', 'USA']"
normalized,N/A,全レイヤー,ALL,migration+diplomacy+aviation+trade,4,degree,0.75,15,"['USA', 'DEU', 'GBR', 'FRA', 'CHN', 'ESP', 'RUS', 'ITA', 'CAN', 'JPN', 'IND', 'SAU', 'NLD', 'ARE', 'BEL', 'AUS', 'HKG', 'KOR', 'TUR', 'MEX']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'SAU', 'TUR', 'USA']"
migration_centric,10:1,移住のみ,M,migration,1,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,10:1,移住+外交,MD,migration+diplomacy,2,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,10:1,移住+航空,MA,migration+aviation,2,degree,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'JOR', 'HKG', 'IRN', 'MYS', 'JPN', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,10:1,移住+貿易,MT,migration+trade,2,degree,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'GBR', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'HKG', 'JOR', 'JPN', 'IRN', 'MYS', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,10:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,degree,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'ESP', 'AUS', 'UKR', 'ITA', 'ARE', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'JPN', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
migration_centric,10:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,degree,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'UKR', 'ITA', 'ARE', 'PAK', 'HKG', 'JOR', 'JPN', 'IRN', 'MYS', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
