top_k,ratio,combination,code,layers,n_layers,accuracy,matches,predicted,matched_countries
20,10:1,移住のみ,M,migration,1,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住のみ,M,migration,1,0.9333333333333333,28,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN', 'TUR', 'KAZ', 'SGP', 'CHE', 'KWT', 'ARG', 'THA', 'ISR', 'NLD', 'BEL']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+外交,MD,migration+diplomacy,2,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+外交,MD,migration+diplomacy,2,0.9333333333333333,28,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'CIV', 'JPN', 'TUR', 'SGP', 'KAZ', 'CHE', 'ARG', 'KWT', 'THA', 'BEL', 'ISR', 'NLD']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+航空,MA,migration+aviation,2,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'JOR', 'HKG', 'IRN', 'MYS', 'JPN', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+航空,MA,migration+aviation,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'JOR', 'HKG', 'IRN', 'MYS', 'JPN', 'CIV', 'TUR', 'SGP', 'CHE', 'KAZ', 'THA', 'KWT', 'NLD', 'ARG', 'ISR', 'BEL']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+貿易,MT,migration+trade,2,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'GBR', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'HKG', 'JOR', 'JPN', 'IRN', 'MYS', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+貿易,MT,migration+trade,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'GBR', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'HKG', 'JOR', 'JPN', 'IRN', 'MYS', 'CIV', 'SGP', 'TUR', 'NLD', 'CHE', 'CHN', 'KAZ', 'THA', 'BEL', 'ARG', 'KWT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'ESP', 'AUS', 'UKR', 'ITA', 'ARE', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'JPN', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'ESP', 'AUS', 'UKR', 'ITA', 'ARE', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'JPN', 'CIV', 'TUR', 'SGP', 'CHE', 'THA', 'KAZ', 'NLD', 'BEL', 'ARG', 'KWT', 'ISR']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
