Rank,Country,PageRank
1,USA,0.12570386745633555
2,AUS,0.06068555076705819
3,GBR,0.05059090353339213
4,CAN,0.044343249187682836
5,FRA,0.03650208937258668
6,DEU,0.03592918676994808
7,MEX,0.033237481991435
8,ITA,0.027986957379129943
9,ESP,0.02533192937239609
10,NZL,0.018551680119591855
11,CHE,0.016397015667910988
12,SWE,0.013495119609301123
13,TUR,0.013423290304157332
14,JPN,0.013309920134398554
15,BEL,0.012426330409685125
16,RUS,0.010937460780835764
17,NLD,0.0095296086500686
18,ISR,0.00944380437687336
19,PRT,0.009324202235475747
20,NOR,0.009319607026465376
