Country,Betweenness,Rank
USA,0.5552487562189055,1
GBR,0.39808457711442785,2
ESP,0.2394278606965174,3
DEU,0.20251243781094527,4
ARE,0.1726865671641791,5
CHN,0.13865671641791044,6
AUS,0.11527363184079602,7
FRA,0.11440298507462686,8
RUS,0.11181592039800994,9
BEL,0.09855721393034826,10
IND,0.08470149253731343,11
SGP,0.05370646766169154,12
JPN,0.047587064676616914,13
ZAF,0.04435323383084577,14
SAU,0.04291044776119403,15
EGY,0.039701492537313435,16
PRI,0.039378109452736315,17
KEN,0.03845771144278607,18
ITA,0.03609452736318408,19
BRA,0.034328358208955224,20
