Country,Closeness,Rank
USA,5.240655895557587,1
GBR,5.23635725389867,2
ESP,5.218521207993143,3
DEU,5.193561377207709,4
MEX,5.168404915539467,5
CAN,5.1682655337237255,6
ITA,5.117138953331575,7
FRA,5.110508626043862,8
GRC,5.037694144606243,9
TUR,5.010220607334163,10
JPN,5.001662748539157,11
CHN,4.974718169044313,12
PRT,4.925782332179481,13
RUS,4.913309731813693,14
BHS,4.886735250188214,15
POL,4.859879243405239,16
TWN,4.848991549757263,17
NLD,4.848299469558916,18
KOR,4.844443557244768,19
IRL,4.8363733821147505,20
