Country,Closeness,Rank
CHN,5.282369178226379,1
FRA,5.0608128550778115,2
GBR,5.016516900109955,3
DEU,4.877762177340957,4
JPN,4.857093693538665,5
RUS,4.640785877227227,6
TUR,4.521791367554735,7
BRA,4.50402401444057,8
USA,4.46890491881141,9
IND,4.442922913469478,10
ITA,4.366758520667145,11
EGY,4.325562685566511,12
CUB,4.317416616478816,13
ESP,4.222004094567682,14
KOR,4.2142430576291385,15
VAT,4.123288171493258,16
NLD,4.064801814450802,17
CHE,4.007951439423517,18
ZAF,4.007951439423517,19
IRN,3.959496067962439,20
